# sigma8,om0,ode0
8.101856281719725938e-01,3.419283681645224893e-01,6.305447273841819911e-01
8.100516435149560657e-01,3.420628917818587245e-01,6.306961940605755323e-01
8.099089729511913527e-01,3.417329543789407453e-01,6.308627457242248493e-01
8.101772318664423045e-01,3.419578442118619277e-01,6.302496933120816935e-01
8.099566271705248566e-01,3.421786222113893938e-01,6.304745507215081535e-01
8.100840452583538687e-01,3.419682177452648131e-01,6.305395382521686853e-01
8.100293261262420108e-01,3.420251748737130337e-01,6.304401104355177310e-01
8.098610596133400952e-01,3.421316138824664899e-01,6.305048889047333294e-01
8.095943105460171596e-01,3.419298837385604251e-01,6.299238530521396040e-01
8.099222333684232833e-01,3.421289565388845322e-01,6.305000175915027594e-01
8.102390858297970899e-01,3.421404705188689221e-01,6.303903163346232796e-01
8.098613699735691673e-01,3.421196476655102292e-01,6.308447057690217408e-01
8.099615687643215711e-01,3.420540633331327629e-01,6.306120818978818710e-01
8.101164939305968149e-01,3.420527127798180800e-01,6.305223909146546735e-01
8.101675561313235185e-01,3.418246669554655948e-01,6.303332792910465443e-01
8.100658708574325351e-01,3.418158145462616426e-01,6.305327542913381489e-01
8.100639757382598338e-01,3.421653767757604769e-01,6.306331120335343376e-01
8.101213701830597413e-01,3.420435665776326295e-01,6.303418747843728687e-01
8.102127098150702089e-01,3.422197391610130590e-01,6.305846483633140709e-01
8.097194398348698252e-01,3.417766907085842409e-01,6.307035769349444987e-01
8.101649910549644229e-01,3.419215569684656564e-01,6.304894260138569351e-01
8.100516435149560657e-01,3.420628917818587245e-01,6.306961940605755323e-01
8.098682195459678823e-01,3.416387087803766098e-01,6.309103206917601181e-01
8.101846227749723850e-01,3.419643684037605436e-01,6.302349759914683824e-01
8.099566271705248566e-01,3.421786222113893938e-01,6.304745507215081535e-01
8.100848275745219373e-01,3.419674034325966283e-01,6.305409597657328780e-01
8.100054179464494242e-01,3.420386477776236611e-01,6.304976800390785785e-01
8.098317469416104197e-01,3.421542308658245268e-01,6.304736269451086672e-01
8.095943105460171596e-01,3.419298837385604251e-01,6.299238530521396040e-01
8.099496679972585378e-01,3.420691467051176216e-01,6.305062702711859979e-01
8.101528028678484095e-01,3.421047596751399800e-01,6.305311171789346192e-01
8.098594469038323806e-01,3.421209063957190155e-01,6.308491704129889355e-01
8.099811787078372571e-01,3.420389327517160960e-01,6.306329958994468798e-01
8.101164939305968149e-01,3.420527127798180800e-01,6.305223909146546735e-01
8.101188855269768618e-01,3.419063400275381692e-01,6.303658768341788843e-01
8.100735362230763181e-01,3.416826950015379172e-01,6.304446966942145458e-01
8.099575710455118038e-01,3.421264858032012635e-01,6.306677830521053574e-01
8.101150356707019773e-01,3.420343029125943457e-01,6.303574091836503523e-01
8.102127098150702089e-01,3.422197391610130590e-01,6.305846483633140709e-01
8.095427999473090441e-01,3.418174518193625722e-01,6.305552358028650994e-01
8.101649910549644229e-01,3.419215569684656564e-01,6.304894260138569351e-01
8.103038726534723679e-01,3.421362486278667903e-01,6.311221570250444834e-01
8.098043789958436767e-01,3.414125162513214073e-01,6.310670549221789605e-01
8.107747743312732069e-01,3.420994571653188099e-01,6.299404993571541267e-01
8.096339162224305275e-01,3.422180019009296581e-01,6.298727008646515246e-01
8.100907602101299343e-01,3.419833859873883108e-01,6.305374809244400636e-01
8.100013821587057627e-01,3.420381367457934751e-01,6.304967822045957071e-01
8.099128060852892608e-01,3.421511434999521262e-01,6.305849729099837209e-01
8.095943105460171596e-01,3.419298837385604251e-01,6.299238530521396040e-01
8.099595455338290950e-01,3.420634799788856428e-01,6.304687290647775777e-01
8.102120468901660155e-01,3.422224648272410019e-01,6.304399893597099069e-01
8.096992750147653517e-01,3.422254090485412070e-01,6.310377550734276308e-01
8.101348936486989505e-01,3.420852890727743012e-01,6.308660073163331328e-01
8.101139341085084045e-01,3.420596355726082671e-01,6.305241308999074423e-01
8.099637018429488577e-01,3.416437950970063198e-01,6.302579622682280558e-01
8.101886443395398540e-01,3.412421841140786949e-01,6.302232590954039981e-01
8.098383011074858917e-01,3.422546306580208086e-01,6.307844676693250552e-01
8.100900435194874349e-01,3.419876786937835478e-01,6.302424592584948693e-01
8.103824992286489115e-01,3.423523304770253461e-01,6.305491935170687290e-01
8.095427999473090441e-01,3.418174518193625722e-01,6.305552358028650994e-01
8.103146730228797390e-01,3.417689501138678199e-01,6.303542445797530869e-01
8.102370115074728485e-01,3.420394560565872544e-01,6.309522980894157751e-01
8.098881799498526268e-01,3.415812427028023790e-01,6.308251561298231502e-01
8.107747743312732069e-01,3.420994571653188099e-01,6.299404993571541267e-01
8.095946999597628535e-01,3.422593819316790409e-01,6.295692985869016933e-01
8.102180674912835556e-01,3.419180063066383779e-01,6.307227330986079350e-01
8.100052909166811643e-01,3.420790436764756248e-01,6.305215561299788440e-01
8.097369912879945897e-01,3.421092396402654612e-01,6.306701559902556653e-01
8.095943105460171596e-01,3.419298837385604251e-01,6.299238530521396040e-01
8.096828974751424379e-01,3.420963153510696575e-01,6.298908104960467824e-01
8.102559507974670394e-01,3.423093898980231198e-01,6.303877755519217141e-01
8.096992750147653517e-01,3.422254090485412070e-01,6.310377550734276308e-01
8.104263847342679794e-01,3.420080708103945266e-01,6.314439574608338157e-01
8.102855734041930491e-01,3.419382102752090979e-01,6.303620167133698882e-01
8.098246683224481490e-01,3.415166214549605894e-01,6.302130155951641832e-01
8.103624910257403169e-01,3.408928970051560148e-01,6.299339123392128093e-01
8.098822409767409969e-01,3.422235456336346626e-01,6.307429662396411008e-01
8.101268604990840005e-01,3.419652804873906660e-01,6.301675289879183905e-01
8.103675358174122767e-01,3.423409300284276369e-01,6.305396068682150856e-01
8.095427999473090441e-01,3.418174518193625722e-01,6.305552358028650994e-01
8.102633033912073346e-01,3.418204378753639805e-01,6.303820248958652561e-01
8.106328672780386269e-01,3.419842098221077542e-01,6.311756642128669714e-01
8.098881799498526268e-01,3.415812427028023790e-01,6.308251561298231502e-01
8.104780951061262284e-01,3.421345947362922080e-01,6.302146568460518239e-01
