# sigma8,om0,ode0
8.102135199144098188e-01,3.949587749396326064e-01,7.770514079313087796e-01
8.099331507814406805e-01,3.950801566640843587e-01,7.772286545904949495e-01
8.100535934876165189e-01,3.952757033488878413e-01,7.771141776487625608e-01
8.099318090199031372e-01,3.950669508984450129e-01,7.773418172167469997e-01
8.100166422729245808e-01,3.950887495711998820e-01,7.772611730782826855e-01
8.100773366791397256e-01,3.951359697475241295e-01,7.772207750013371275e-01
8.098846599857831841e-01,3.948557763722923553e-01,7.771145073121645819e-01
8.101432724948384179e-01,3.952428225595085443e-01,7.772918566613010727e-01
8.099313393376693648e-01,3.948737460734848548e-01,7.768994597188306761e-01
8.099734664859205013e-01,3.950674920927745859e-01,7.771239368862650210e-01
8.098783666428271966e-01,3.952169458579112837e-01,7.770618274565609385e-01
8.100495889420036288e-01,3.950443052215456552e-01,7.773200905914894321e-01
8.100431544089513602e-01,3.949919500062240574e-01,7.771572796678916095e-01
8.098545420650192783e-01,3.950483366571159727e-01,7.769577025536699155e-01
8.100587322283790970e-01,3.951568292052249354e-01,7.770995452592479591e-01
8.101614580969556112e-01,3.951157415761419878e-01,7.770606890376929865e-01
8.099376749871970427e-01,3.949779965063949239e-01,7.772597183740155291e-01
8.101064291861580502e-01,3.952960682555369254e-01,7.770883984964754854e-01
8.097067600210502425e-01,3.951480343663086314e-01,7.770948966393071977e-01
8.103759356266936331e-01,3.950561090761787186e-01,7.769600103583313988e-01
8.101626558916317222e-01,3.950151569002259833e-01,7.770778238743304422e-01
8.099331507814406805e-01,3.950801566640843587e-01,7.772286545904949495e-01
8.100879975740760131e-01,3.953315606545269034e-01,7.770814776644626720e-01
8.099169615200279004e-01,3.950575556427805002e-01,7.773677823154840905e-01
8.100166422729245808e-01,3.950887495711998820e-01,7.772611730782826855e-01
8.100800913663323000e-01,3.951399756554975218e-01,7.772222943041507959e-01
8.099078888634791973e-01,3.948824506483522567e-01,7.771438801169074928e-01
8.101724711156321757e-01,3.953159874875634694e-01,7.773311049406036455e-01
8.096509816699635209e-01,3.947892665005949819e-01,7.767484931039256857e-01
8.100093727114363595e-01,3.950767076999033844e-01,7.771118566051199439e-01
8.099035847359317142e-01,3.951539794097217451e-01,7.771386208917115956e-01
8.100497124370646951e-01,3.950453100513384719e-01,7.773232153473637052e-01
