# sigma8,om0
8.099915363270582258e-01,3.597487796749287425e-01
8.099316086045347252e-01,3.598585102531902669e-01
8.102097484457017051e-01,3.597795726229435220e-01
8.099597008609887849e-01,3.597582047377524406e-01
8.100260181219530731e-01,3.598974141287439865e-01
8.101785871628564006e-01,3.597724303838357729e-01
8.100506251461092599e-01,3.598579036351174376e-01
8.101096233827946858e-01,3.597282496361041693e-01
8.099101935407395647e-01,3.599172316806202310e-01
8.100505784244660390e-01,3.598554472544217564e-01
8.102683248220579060e-01,3.599062020566572984e-01
8.097031141328316917e-01,3.597200253310844920e-01
8.101404743449438506e-01,3.597073750889315802e-01
8.099573676786713250e-01,3.598535006521411117e-01
8.100801698408189866e-01,3.597805747673171739e-01
8.099499213623914118e-01,3.598909401072459824e-01
8.100646110763630725e-01,3.600048432489520445e-01
8.099809925851120251e-01,3.597978542176362704e-01
8.097696022616192035e-01,3.598661690383833656e-01
8.098256081877481805e-01,3.598629626874610410e-01
8.100150786297487526e-01,3.597669470022307747e-01
8.099429864123368628e-01,3.598178849343230401e-01
8.102859481953703646e-01,3.597686288297075596e-01
8.099460234918316459e-01,3.597519559541310641e-01
8.100260181219530731e-01,3.598974141287439865e-01
8.101804166281775244e-01,3.597712083778603076e-01
8.100005363698166150e-01,3.598385333168366285e-01
8.101006259520414643e-01,3.597343375270354859e-01
8.098293762353090397e-01,3.600845954729179343e-01
8.100313530178071542e-01,3.598622263568013180e-01
8.101185658860875494e-01,3.598655481471478845e-01
8.096947200775572728e-01,3.597202681214182185e-01
8.101464935543316592e-01,3.597033023384708095e-01
8.100528333514390722e-01,3.598182792922324236e-01
8.100676746534647421e-01,3.598075347556971004e-01
8.099536577543406946e-01,3.599303005579799764e-01
8.102756610453005770e-01,3.601040510907867476e-01
8.099878149754655698e-01,3.597973089893087284e-01
8.097696022616192035e-01,3.598661690383833656e-01
8.094675995542733871e-01,3.599406800378953108e-01
8.100150786297487526e-01,3.597669470022307747e-01
8.100056449106841638e-01,3.596707882368356812e-01
8.103647630595561813e-01,3.598055490676875245e-01
8.103859309229048957e-01,3.595784254922271272e-01
8.100449518695385098e-01,3.601080278300934356e-01
8.101565141277202731e-01,3.597800270301246828e-01
