# sigma8,om0
8.098748628669449889e-01,3.436874152667853122e-01
8.099053720117366240e-01,3.436616604854218493e-01
8.103074549453164188e-01,3.437055076469882620e-01
8.099167549349312045e-01,3.436058489415966810e-01
8.099236766301570745e-01,3.436338855867068776e-01
8.102051521853906868e-01,3.435643042839914285e-01
8.100998533198050522e-01,3.435678897675900068e-01
8.101641143767375208e-01,3.436763592866985406e-01
8.099440702871077979e-01,3.436639090489295723e-01
8.099443141731722529e-01,3.436252122901704009e-01
8.098666036505741683e-01,3.437417151608359589e-01
8.100139001103224823e-01,3.434491713818870195e-01
8.098838882750871715e-01,3.436008569393246836e-01
8.098243074585449452e-01,3.436980557607124953e-01
8.100016447467495162e-01,3.436286195419966383e-01
8.100400006668454500e-01,3.434368631017693518e-01
8.099326810499622997e-01,3.435195974346972880e-01
8.103229674023552098e-01,3.436637235522828071e-01
8.095708441320479398e-01,3.436602677310573450e-01
8.102955225168393394e-01,3.440032524682224424e-01
8.099085015806639642e-01,3.436696110890321565e-01
8.099099822755132516e-01,3.436390559281901624e-01
8.104209917839627630e-01,3.437244893749110686e-01
8.099082806180945004e-01,3.436028105987919412e-01
8.099236766301570745e-01,3.436338855867068776e-01
8.102066576369914008e-01,3.435642530225462843e-01
8.100881077532614549e-01,3.435507720605396886e-01
8.102458400270644567e-01,3.436983789287090252e-01
8.100128306218158381e-01,3.436405546831162172e-01
8.099625902058192883e-01,3.435892377677052245e-01
8.098865715870999793e-01,3.436944593281731075e-01
8.100163953682382179e-01,3.434462601500963830e-01
8.098292144670674597e-01,3.435861259745036089e-01
8.099879545732212582e-01,3.436407877554361057e-01
8.099836540671389029e-01,3.436298346505222701e-01
8.101100515924923862e-01,3.433279262467228143e-01
8.101915399940673446e-01,3.434189615886023006e-01
8.103225047604932785e-01,3.436649697166604955e-01
8.099014104348277732e-01,3.436623355764888421e-01
8.102844018068260379e-01,3.442807428232873557e-01
8.099085015806639642e-01,3.436696110890321565e-01
8.098532591622727983e-01,3.436382293320566772e-01
8.104209917839627630e-01,3.437244893749110686e-01
8.095624398419168921e-01,3.429794567071751676e-01
8.099891187710610563e-01,3.436298487474995778e-01
8.101656840061566278e-01,3.435785916689164665e-01
8.100917466764687713e-01,3.435475014684222228e-01
8.101784379179964857e-01,3.436880518597213441e-01
8.100725801937627146e-01,3.437282570137151216e-01
8.099566995383568058e-01,3.436048911652985205e-01
8.097957018028691945e-01,3.436893531890646836e-01
8.100729552850630677e-01,3.433291754614132829e-01
8.098406681337739776e-01,3.436109453571827843e-01
8.099921483378617060e-01,3.436392663743859655e-01
8.100009023097501926e-01,3.435778025785996559e-01
8.100291654453237733e-01,3.432375637175960614e-01
8.102146938450923708e-01,3.432760140009308847e-01
8.106109801733396569e-01,3.436454551938505908e-01
8.099543541242320011e-01,3.437182225965302318e-01
8.103406612589589830e-01,3.440516300076272849e-01
8.099085015806639642e-01,3.436696110890321565e-01
8.098822786716896038e-01,3.436263523518450214e-01
8.104767257199703145e-01,3.437013043476360719e-01
8.095624398419168921e-01,3.429794567071751676e-01
8.098315345701051493e-01,3.436079955026772326e-01
8.102148868864209597e-01,3.435643080195963650e-01
8.101011703937546216e-01,3.435443581904615296e-01
8.104033092303368768e-01,3.436872872816592039e-01
8.100727501719876544e-01,3.435474072477672780e-01
8.100766453372785225e-01,3.436078213538176773e-01
8.097033811390272895e-01,3.436877330713782319e-01
8.100729552850630677e-01,3.433291754614132829e-01
8.097542929097673037e-01,3.435999465187612456e-01
8.099921483378617060e-01,3.436392663743859655e-01
8.100046836178139698e-01,3.435512530820288291e-01
8.100136092628200668e-01,3.432050189762864134e-01
8.101928310546557821e-01,3.433116997832020845e-01
8.106616711862917324e-01,3.436752540755804164e-01
8.099404265949923243e-01,3.437156882527957480e-01
8.103406612589589830e-01,3.440516300076272849e-01
8.099404922025031928e-01,3.436488141678897823e-01
8.094697894457602017e-01,3.435781114154662363e-01
8.104767257199703145e-01,3.437013043476360719e-01
8.096979962112548224e-01,3.430803607179707115e-01
8.098315345701051493e-01,3.436079955026772326e-01
8.103352105237296987e-01,3.437294670918585870e-01
8.101034826877020478e-01,3.435368122831319870e-01
8.103471163505989727e-01,3.436086949008309022e-01
8.100727501719876544e-01,3.435474072477672780e-01
8.102784319366711507e-01,3.436127508534931874e-01
8.096271752939709909e-01,3.436976697296726391e-01
8.100570054174579537e-01,3.433475961787265662e-01
8.096086496747683103e-01,3.435878589071457156e-01
8.100078715702778709e-01,3.436363601915041199e-01
8.097949474257012392e-01,3.432388895847483523e-01
8.100691558552379767e-01,3.431964148370915124e-01
8.100996562138353951e-01,3.432625926651190484e-01
8.105735290338874632e-01,3.436679387470982783e-01
8.100313455699749143e-01,3.437722235317722808e-01
8.103403546163859827e-01,3.440513213368704415e-01
8.099938049998635092e-01,3.437989688262308996e-01
8.094697894457602017e-01,3.435781114154662363e-01
8.103766238462855043e-01,3.436631698909135002e-01
8.096979962112548224e-01,3.430803607179707115e-01
8.098280869536664817e-01,3.436158897904078025e-01
8.101623392085444131e-01,3.437740984797975630e-01
8.101482980212975082e-01,3.435338915728099463e-01
8.102930051047946280e-01,3.436086214977223108e-01
8.100026516044094294e-01,3.433700336398057829e-01
8.102784319366711507e-01,3.436127508534931874e-01
8.095683170952806540e-01,3.442107059604587183e-01
8.101426275449559178e-01,3.434501272913061398e-01
8.096443279576696073e-01,3.435210270417794476e-01
8.101378762627544639e-01,3.436572720968020800e-01
8.097949474257012392e-01,3.432388895847483523e-01
8.100624459421955637e-01,3.431940997331149323e-01
8.101234600844350320e-01,3.432151512851148722e-01
8.104386710015427653e-01,3.436646368434585486e-01
8.099081226044450021e-01,3.437704598075302931e-01
8.103403546163859827e-01,3.440513213368704415e-01
8.099949727083307627e-01,3.437886788922993597e-01
8.094697894457602017e-01,3.435781114154662363e-01
8.103395964127111384e-01,3.436390151742858556e-01
8.096979962112548224e-01,3.430803607179707115e-01
8.099851210567602378e-01,3.435540534716215455e-01
8.101623392085444131e-01,3.437740984797975630e-01
8.101482980212975082e-01,3.435338915728099463e-01
8.103095840402552152e-01,3.434742313274622982e-01
8.100026516044094294e-01,3.433700336398057829e-01
8.102326050816396341e-01,3.435444245434720045e-01
8.095830005304427424e-01,3.441846981631930813e-01
8.101860075168592079e-01,3.434749491309604941e-01
8.096443279576696073e-01,3.435210270417794476e-01
8.101071716835120951e-01,3.436669978233064526e-01
8.097949474257012392e-01,3.432388895847483523e-01
8.100435981543651076e-01,3.431512596359624356e-01
8.099861581096106100e-01,3.432250727153307035e-01
8.101062745758790262e-01,3.438731858272112696e-01
8.097025540309124025e-01,3.439729409573161756e-01
8.102548235659422504e-01,3.439181240902952630e-01
8.099955495898619739e-01,3.437572279243698015e-01
8.094697894457602017e-01,3.435781114154662363e-01
8.103055659338604944e-01,3.436296896975499227e-01
8.096979962112548224e-01,3.430803607179707115e-01
8.099920532994956401e-01,3.435437768665543512e-01
8.101718246927447353e-01,3.437869281498249774e-01
8.101482980212975082e-01,3.435338915728099463e-01
8.103926875849687406e-01,3.433950880411313356e-01
8.100038351244078783e-01,3.433055093874236019e-01
8.101111192146402962e-01,3.433870002773097840e-01
8.095830005304427424e-01,3.441846981631930813e-01
