# sigma8,om0,ode0
8.099375061578640844e-01,3.545563527620840816e-01,6.972564751248978565e-01
8.099546548731343387e-01,3.545861503905849421e-01,6.974527044912639528e-01
8.099936270203719202e-01,3.542951245396778193e-01,6.972597686915205095e-01
8.101976469107008416e-01,3.542995795271511872e-01,6.977319538383652819e-01
8.099563691980899982e-01,3.544578950168199016e-01,6.973047325509150740e-01
8.100407029734238984e-01,3.546291577100182946e-01,6.973250076652461882e-01
8.099510956830463515e-01,3.546472430577893853e-01,6.972005351963338482e-01
8.099660282536784717e-01,3.546717391418781617e-01,6.972914332220098155e-01
8.101086604634950561e-01,3.545512152144383866e-01,6.975365323922305683e-01
8.099805730711632235e-01,3.545244694747616832e-01,6.974617676122472076e-01
8.100458081882541128e-01,3.546307964551906333e-01,6.974269764242875258e-01
8.100585124677643911e-01,3.545987049787888701e-01,6.973562813364967417e-01
8.098483352854687345e-01,3.543341011925060235e-01,6.977972660544832229e-01
8.101066773856724357e-01,3.545521477546831335e-01,6.975133382585122499e-01
8.099932108287501986e-01,3.546872617568392894e-01,6.974838262377799358e-01
8.099427726596498678e-01,3.546786161047729147e-01,6.973456031159022128e-01
8.099796969101971111e-01,3.546140498323214763e-01,6.973625580901007259e-01
8.100224478344297818e-01,3.544946744108470882e-01,6.973613967563410121e-01
8.100201029692204457e-01,3.546248420827982639e-01,6.973876017571039032e-01
8.100248105726440828e-01,3.545945480520443227e-01,6.974939861367420724e-01
8.098989400470630873e-01,3.545849040163389088e-01,6.970726371804709665e-01
8.099291407670905496e-01,3.545192407243701882e-01,6.974321099157128057e-01
