# sigma8,om0
8.101576563640503492e-01,3.292378152895601429e-01
8.099754802505159113e-01,3.282109943148454612e-01
8.098821831167822838e-01,3.293160856175686990e-01
8.101872646924742627e-01,3.291336316016644781e-01
8.098884907436413316e-01,3.285970002321060845e-01
8.100981096806502135e-01,3.288608235712290329e-01
8.121926277026527696e-01,3.270730835832243444e-01
8.099644777157155584e-01,3.286501522016004317e-01
8.117646118892697382e-01,3.282291996575939508e-01
8.098810554430002639e-01,3.282331624672741865e-01
8.098040451543440099e-01,3.285697120287345840e-01
8.097819917930841882e-01,3.284615330780273346e-01
8.097922379116270220e-01,3.285916844322510078e-01
8.099816826465419117e-01,3.280579593600425614e-01
8.100069220031802519e-01,3.283016948256080036e-01
8.097713244161519608e-01,3.292042998700489553e-01
8.101494900442841596e-01,3.276117591464345891e-01
8.101070634853465569e-01,3.284717227653624061e-01
8.101612549656291851e-01,3.292825844041028516e-01
8.103721380178203759e-01,3.270394839207415028e-01
8.102820354752288123e-01,3.294728137496652498e-01
8.099471627313322708e-01,3.282476612888179934e-01
8.098821831167822838e-01,3.293160856175686990e-01
